Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
01D085       3    No     00001580-00001587        8
01D093       3    No     00001588-0000158F        8
01D0A3       3    No     00001590-00001597        8
01D0FA       4    No     00001598-000015A0        9
01D130       3    No     000015A1-000015A8        8
01D34A       1    No     000015A9-000015AE        6
01D370       9    No     000015AF-000015BC        E
01D457       7    No     000015BD-000015C8        C
01D48F       4    No     000015C9-000015D1        9
01D5AF       1    No     000015D2-000015D7        6
01D5BB       1    No     000015D8-000015DD        6
01D5EA       1    No     000015DE-000015E3        6
01D901       1    No     000015E4-000015E9        6
01DA6A       1    No     000015EA-000015EF        6
01DA8E       1    No     000015F0-000015F5        6
01DAB0      19    No     000015F6-00001613       1E
01DB30       3    No     00001614-0000161B        8
01DB7D       2    No     0000161C-00001622        7
01DD64       5    No     00001623-0000162C        A
01DF96       2    No     0000162D-00001633        7
01E251       2    No     00001634-0000163A        7
01E26D       7    No     0000163B-00001646        C
01E2C9       2    No     00001647-0000164D        7
01E353      5F    No     0000164E-000016B1       64
01E3F1       1    No     000016B2-000016B7        6
01E433       1    No     000016B8-000016BD        6
01E456       E    No     000016BE-000016D0       13
01E4DC       4    No     000016D1-000016D9        9
01E4E8       1    No     000016DA-000016DF        6
01E4F6       2    No     000016E0-000016E6        7
01E532       1    No     000016E7-000016EC        6
01E53D       1    No     000016ED-000016F2        6
01E586       4    No     000016F3-000016FB        9
01E5B5       7    No     000016FC-00001707        C
01E5FD       5    No     00001708-00001711        A
01E616       1    No     00001712-00001717        6
01E624       1    No     00001718-0000171D        6
01E77C       1    No     0000171E-00001723        6
01E786       2    No     00001724-0000172A        7
01E798       3    No     0000172B-00001732        8
01E8A5       1    No     00001733-00001738        6
01E8AE       5    No     00001739-00001742        A
01E907       5    No     00001743-0000174C        A
01E922       6    No     0000174D-00001757        B
01E9AD       1    No     00001758-0000175D        6
01EA24       2    No     0000175E-00001764        7
01EA36       4    No     00001765-0000176D        9
01EA47       2    No     0000176E-00001774        7
01EA52      1E    No     00001775-00001797       23
01EA89       8    No     00001798-000017A4        D
01EAD2       4    No     000017A5-000017AD        9
01EB01       5    No     000017AE-000017B7        A
01EB0D       1    No     000017B8-000017BD        6
01EB18       6    No     000017BE-000017C8        B
01EB2A       1    No     000017C9-000017CE        6
01EB32       F    No     000017CF-000017E2       14
01EBA2       3    No     000017E3-000017EA        8
01EBED       4    No     000017EB-000017F3        9
01EC1D      4C    No     000017F4-00001844       51
01ECCD      19    No     00001845-00001862       1E
01ECF3       1    No     00001863-00001868        6
01ED08       5    No     00001869-00001872        A
01ED17       1    No     00001873-00001878        6
01ED2C       D    No     00001879-0000188A       12
01ED79       1    No     0000188B-00001890        6
01EDBA       1    No     00001891-00001896        6
01EDC3       1    No     00001897-0000189C        6
01EDD6       1    No     0000189D-000018A2        6
01EF04       2    No     000018A3-000018A9        7
01EF6E       4    No     000018AA-000018B2        9
01F09F       7    No     000018B3-000018BE        C
01F0AD       2    No     000018BF-000018C5        7
01F0B6      26    No     000018C6-000018F0       2B
01F0EE       1    No     000018F1-000018F6        6
01F106       4    No     000018F7-000018FF        9
01F1B0       5    No     00001900-00001909        A
01F203       1    No     0000190A-0000190F        6
01F25D       6    No     00001910-0000191A        B
01F26F       5    No     0000191B-00001924        A
01F3EA       1    No     00001925-0000192A        6
01F410      70    No     0000192B-0000199F       75
01F516       1    No     000019A0-000019A5        6
01F51E       9    No     000019A6-000019B3        E
01F52E       1    No     000019B4-000019B9        6
01F536       1    No     000019BA-000019BF        6
01F54C       1    No     000019C0-000019C5        6
01F554       1    No     000019C6-000019CB        6
01F55C       1    No     000019CC-000019D1        6
01F564       1    No     000019D2-000019D7        6
01F56C       1    No     000019D8-000019DD        6
01F5C3       5    No     000019DE-000019E7        A
01FF72       1    No     000019E8-000019ED        6
01FFA8       4    No     000019EE-000019F6        9
