Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
04C0EC     33D    No     0004A049-0004A38A      342
04C429      17    Yes    0004A38B-0004A392        8
04C440      78    No     0004A393-0004A40F       7D
04C4B8      18    Yes    0004A410-0004A417        8
04C4D0      83    No     0004A418-0004A49F       88
04C553      19    Yes    0004A4A0-0004A4A7        8
04C56C     8F3    No     0004A4A8-0004AD9F      8F8
04CE5F       F    Yes    0004ADA0-0004ADA7        8
04CE6E      32    No     0004ADA8-0004ADDE       37
04CEA0       E    Yes    0004ADDF-0004ADE6        8
04CEAE      56    No     0004ADE7-0004AE41       5B
04CF04      1C    Yes    0004AE42-0004AE49        8
04CF20     3BE    No     0004AE4A-0004B20C      3C3
04D2DE      26    Yes    0004B20D-0004B214        8
04D304      84    No     0004B215-0004B29D       89
04D388       E    Yes    0004B29E-0004B2A5        8
04D396       1    No     0004B2A6-0004B2AB        6
04D397      15    Yes    0004B2AC-0004B2B3        8
04D3AC     36F    No     0004B2B4-0004B627      374
04D71B      15    Yes    0004B628-0004B62F        8
04D730       1    No     0004B630-0004B635        6
04D732      30    Yes    0004B636-0004B63D        8
04D762     50E    No     0004B63E-0004BB50      513
04DC70      30    Yes    0004BB51-0004BB58        8
04DCA0      A8    No     0004BB59-0004BC05       AD
04DD49      16    Yes    0004BC06-0004BC0D        8
04DD60     360    No     0004BC0E-0004BF72      365
04E0C0       E    Yes    0004BF73-0004BF7A        8
04E0CE      3A    No     0004BF7B-0004BFB9       3F
04E108       F    Yes    0004BFBA-0004BFC1        8
04E117      CF    No     0004BFC2-0004C095       D4
04E1E8       F    Yes    0004C096-0004C09D        8
04E1F8     214    No     0004C09E-0004C2B6      219
04E40C      14    Yes    0004C2B7-0004C2BE        8
04E420      85    No     0004C2BF-0004C348       8A
04E4AD      16    No     0004C349-0004C363       1B
04E4C3       F    Yes    0004C364-0004C36B        8
04E4D3       9    No     0004C36C-0004C379        E
04E4DC      4E    Yes    0004C37A-0004C381        8
04E52A      5E    No     0004C382-0004C3E4       63
04E588      3A    Yes    0004C3E5-0004C3EC        8
04E5C2      86    No     0004C3ED-0004C477       8B
04E648      1D    Yes    0004C478-0004C47F        8
04E668      91    No     0004C480-0004C515       96
04E700       3    No     0004C516-0004C51D        8
04E720      A8    No     0004C51E-0004C5CA       AD
04E7CF      CA    No     0004C5CB-0004C699       CF
04E899      1F    Yes    0004C69A-0004C6A1        8
04E8B8       5    No     0004C6A2-0004C6AB        A
04E8BD      13    Yes    0004C6AC-0004C6B3        8
04E8D0      29    No     0004C6B4-0004C6E1       2E
04E900       5    No     0004C6E2-0004C6EB        A
04E910       1    No     0004C6EC-0004C6F1        6
04E918      3D    No     0004C6F2-0004C733       42
04E955      19    Yes    0004C734-0004C73B        8
04E96E      9A    No     0004C73C-0004C7DA       9F
04EA08      18    Yes    0004C7DB-0004C7E2        8
04EA20     3BE    No     0004C7E3-0004CBA5      3C3
04EDDE      22    Yes    0004CBA6-0004CBAD        8
04EE00     3F1    No     0004CBAE-0004CFA3      3F6
04F1F1       F    Yes    0004CFA4-0004CFAB        8
04F200       7    No     0004CFAC-0004CFB7        C
04F207      10    Yes    0004CFB8-0004CFBF        8
