Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
14BAC0      A0    No     00005B05-00005BA9       A5
14BB60      20    Yes    00005BAA-00005BB1        8
14BB80      AF    No     00005BB2-00005C65       B4
14BC2F      11    Yes    00005C66-00005C6D        8
14BC40      C1    No     00005C6E-00005D33       C6
14BD01      1F    Yes    00005D34-00005D3B        8
14BD20      A0    No     00005D3C-00005DE0       A5
14BDC0      20    Yes    00005DE1-00005DE8        8
14BDE0      18    No     00005DE9-00005E05       1D
14BE00      78    No     00005E06-00005E82       7D
14BE78      10    Yes    00005E83-00005E8A        8
14BE88     1EF    No     00005E8B-0000607E      1F4
14C080     3BA    No     0000607F-0000643D      3BF
14C440      3C    No     0000643E-0000647E       41
14C47C      3C    Yes    0000647F-00006486        8
14C4C8      58    No     00006487-000064E3       5D
14C520      27    Yes    000064E4-000064EB        8
14C548       B    No     000064EC-000064FB       10
14C55C       4    No     000064FC-00006504        9
14C568       7    No     00006505-00006510        C
14C577     3DE    No     00006511-000068F3      3E3
14C960       F    No     000068F4-00006907       14
14C96F       E    Yes    00006908-0000690F        8
14C980      41    No     00006910-00006955       46
14C9C1      1A    Yes    00006956-0000695D        8
14C9E0      2B    No     0000695E-0000698D       30
14CA0B      15    Yes    0000698E-00006995        8
14CA20       5    No     00006996-0000699F        A
14CA25      1B    Yes    000069A0-000069A7        8
14CA40      2D    No     000069A8-000069D9       32
14CA6D      15    Yes    000069DA-000069E1        8
14CA82     39D    No     000069E2-00006D83      3A2
14CE1F      10    Yes    00006D84-00006D8B        8
14CE30      11    No     00006D8C-00006DA1       16
14CE41       F    Yes    00006DA2-00006DA9        8
14CE50      50    No     00006DAA-00006DFE       55
14CEAD     11B    No     00006DFF-00006F1E      120
14CFD0      DF    No     00006F1F-00007002       E4
14D0AF      1D    Yes    00007003-0000700A        8
14D0CC       4    No     0000700B-00007013        9
14D0D0       F    Yes    00007014-0000701B        8
14D0DF     1C0    No     0000701C-000071E0      1C5
14D29F      20    Yes    000071E1-000071E8        8
14D2C0      40    No     000071E9-0000722D       45
14D306      6A    No     0000722E-0000729C       6F
14D376     171    No     0000729D-00007412      176
14D4E7      19    Yes    00007413-0000741A        8
14D500      10    No     0000741B-0000742F       15
14D510      10    Yes    00007430-00007437        8
14D520      51    No     00007438-0000748D       56
14D571       F    Yes    0000748E-00007495        8
14D580      17    No     00007496-000074B1       1C
14D597      28    Yes    000074B2-000074B9        8
14D5C0      2F    No     000074BA-000074ED       34
14D5EF      11    Yes    000074EE-000074F5        8
14D600      6F    No     000074F6-00007569       74
14D670      1C    Yes    0000756A-00007571        8
14D68C       4    No     00007572-0000757A        9
14D690       E    Yes    0000757B-00007582        8
14D69E      82    No     00007583-00007609       87
14D728       9    No     0000760A-00007617        E
14D73A      16    No     00007618-00007632       1B
14D75C     385    No     00007633-000079BC      38A
14DAE2      1E    Yes    000079BD-000079C4        8
14DB00      A0    No     000079C5-00007A69       A5
14DBA2      19    Yes    00007A6A-00007A71        8
14DBC0      38    No     00007A72-00007AAE       3D
14DBFE      72    No     00007AAF-00007B25       77
14DC8C       3    No     00007B26-00007B2D        8
14DC9E     3EE    No     00007B2E-00007F20      3F3
14E08C      14    Yes    00007F21-00007F28        8
14E0A0     128    No     00007F29-00008055      12D
14E1D0      96    No     00008056-000080F0       9B
14E266      20    Yes    000080F1-000080F8        8
14E286     5FB    No     000080F9-000086F8      600
14E887       8    No     000086F9-00008705        D
14E898       1    No     00008706-0000870B        6
14E8A4       C    No     0000870C-0000871C       11
14E8B6      5B    No     0000871D-0000877C       60
14E918      3F    No     0000877D-000087C0       44
14E96E      12    Yes    000087C1-000087C8        8
14E980     4FB    No     000087C9-00008CC8      500
14EE7B      2A    Yes    00008CC9-00008CD0        8
14EEAC       4    No     00008CD1-00008CD9        9
14EEB8      A8    No     00008CDA-00008D86       AD
14EF60       E    Yes    00008D87-00008D8E        8
14EF6E       1    No     00008D8F-00008D94        6
14EF6F      1D    Yes    00008D95-00008D9C        8
14EF8C       4    No     00008D9D-00008DA5        9
14EF90       E    Yes    00008DA6-00008DAD        8
14EF9E     485    No     00008DAE-00009237      48A
14F423      1D    Yes    00009238-0000923F        8
14F440       1    No     00009240-00009245        6
14F441      42    Yes    00009246-0000924D        8
14F483      E5    No     0000924E-00009337       EA
14F568       E    Yes    00009338-0000933F        8
14F576     4CC    No     00009340-00009810      4D1
14FA42       E    Yes    00009811-00009818        8
14FA50       B    No     00009819-00009828       10
14FA5B      15    Yes    00009829-00009830        8
14FA74       1    No     00009831-00009836        6
14FA88      29    Yes    00009837-0000983E        8
14FAC4      5B    No     0000983F-0000989E       60
14FB1F      10    Yes    0000989F-000098A6        8
14FB60      9F    No     000098A7-0000994A       A4
14FBFF      21    Yes    0000994B-00009952        8
14FC20     21B    No     00009953-00009B72      220
14FE3B      B0    Yes    00009B73-00009B7A        8
14FF00      1B    No     00009B7B-00009B9A       20
14FF20      E9    Yes    00009B9B-00009BA2        8
150019      57    No     00009BA3-00009BFE       5C
150076     181    No     00009BFF-00009D84      186
150200      9E    No     00009D85-00009E27       A3
1502A0       C    Yes    00009E28-00009E2F        8
1502AC       3    No     00009E30-00009E37        8
1502B0      10    Yes    00009E38-00009E3F        8
1502C0      1E    No     00009E40-00009E62       23
1502DE       E    Yes    00009E63-00009E6A        8
